month_date_yyyymm,postal_code,zip_name,active_listing_count_yy,median_days_on_market_yy,new_listing_count_yy,pending_ratio_yy,Year
201807,94901,"san rafael, ca",0.0204,0.3684,0.4,-0.0473,2018
201807,94549,"lafayette, ca",-0.0545,0.0233,0,-0.1056,2018
201807,94024,"los altos, ca",0.3636,0.0278,0,-0.6364,2018
201807,94568,"dublin, ca",0.5294,-0.16,0.4211,-0.5317,2018
201807,94530,"el cerrito, ca",0.125,-0.0682,-0.25,0.0463,2018
201807,94506,"danville, ca",-0.1059,-0.1,0,0.0336,2018
201807,94002,"belmont, ca",0,0.75,0,-0.0667,2018
201807,94705,"berkeley, ca",0.5333,-0.1556,0.5,-0.1449,2018
201807,94954,"petaluma, ca",0.1071,0.5,-0.2,-0.2304,2018
201807,94561,"oakley, ca",0.5833,0,0.2143,-0.6118,2018
201807,94598,"walnut creek, ca",0,-0.0179,0.2857,-0.4286,2018
201807,94022,"los altos, ca",-0.2941,-0.2115,-0.4,0.125,2018
201807,94109,"san francisco, ca",-0.0161,0.3649,-0.2857,-0.0405,2018
201807,94117,"san francisco, ca",0.2,0.3036,0,0,2018
201807,94080,"south san francisco, ca",0.0303,-0.5714,0.1538,-0.664,2018
201807,94086,"sunnyvale, ca",2.8333,-0.2931,0.5,-1.6159,2018
201807,94061,"redwood city, ca",0.5,-0.3667,0.4,-0.4048,2018
201807,94589,"vallejo, ca",1,-0.0227,0.4286,-0.7,2018
201807,94085,"sunnyvale, ca",4,-0.3571,1,-3.76,2018
201807,94019,"half moon bay, ca",0.1667,-0.4655,0.25,0.2048,2018
201807,94536,"fremont, ca",0.5745,-0.4655,0.7333,-0.7234,2018
201807,94611,"oakland, ca",0.0385,-0.1207,0,-0.1218,2018
201807,94303,"palo alto, ca",-0.1,0.3947,-0.375,-0.2,2018
201807,94621,"oakland, ca",-0.1818,0.1296,0.25,0.3737,2018
201807,94588,"pleasanton, ca",0.1304,0.1,0.4444,-0.4122,2018
201807,94941,"mill valley, ca",-0.1731,0.0714,0.75,0.0443,2018
201807,94601,"oakland, ca",-0.3913,-0.3108,-0.25,0.0124,2018
201807,94585,"suisun city, ca",-0.0385,0.3611,-0.125,-0.1662,2018
201807,94501,"alameda, ca",-0.1538,0.1818,-0.4615,0.0373,2018
201807,94606,"oakland, ca",0.1176,0.7353,-0.4,-0.192,2018
201807,94526,"danville, ca",0.3115,-0.1974,0.4545,-0.2447,2018
201807,94404,"san mateo, ca",0.9286,-0.1207,0.6,-1.037,2018
201807,94610,"oakland, ca",0.087,-0.0588,0.1667,-0.367,2018
201807,94565,"pittsburg, ca",0.0988,-0.3387,0.4444,-0.8496,2018
201807,94544,"hayward, ca",-0.1373,0,0.0769,0.053,2018
201807,94566,"pleasanton, ca",0.1333,0.0152,0.5556,-0.0314,2018
201807,94118,"san francisco, ca",0.7778,0.0172,2,-0.2361,2018
201807,94556,"moraga, ca",-0.5278,0.0909,-0.5,0.469,2018
201807,94509,"antioch, ca",0.3462,-0.1458,0.1667,-0.4011,2018
201807,94103,"san francisco, ca",-0.1622,-0.2667,0.75,0.1099,2018
201807,94552,"castro valley, ca",-0.36,-0.3289,0,-0.0225,2018
201807,95620,"dixon, ca",0.1852,0.125,-0.3333,-0.1493,2018
201807,94044,"pacifica, ca",-0.2857,-0.0682,0,-0.0571,2018
201807,94945,"novato, ca",0.1429,-0.2159,0,0.058,2018
201807,94965,"sausalito, ca",-0.1481,0.0326,-0.5,0.0258,2018
201807,94030,"millbrae, ca",-0.2727,-0.2381,0.1667,-0.142,2018
201807,94105,"san francisco, ca",0.0172,-0.0439,0.25,0.012,2018
201807,94608,"emeryville, ca",0.0238,0,-0.1,-0.0426,2018
201807,94510,"benicia, ca",0.0208,0.5,0.1,0.1148,2018
201807,94122,"san francisco, ca",0.7143,-0.4706,1,-0.5238,2018
201807,94805,"richmond, ca",0.6667,-0.0577,2,-0.0267,2018
201807,94116,"san francisco, ca",-0.0667,-0.0417,-0.2,0.1095,2018
201807,94025,"menlo park, ca",0.4815,-0.15,1.3333,-0.7194,2018
201807,94602,"oakland, ca",-0.0741,0.1842,-0.25,0.037,2018
201807,94542,"hayward, ca",0.1333,-0.1034,0,-0.702,2018
201807,94619,"oakland, ca",-0.1622,-0.36,0.1429,-0.0209,2018
201807,94947,"novato, ca",0.1818,-0.0606,0.3333,-0.1492,2018
201807,94571,"rio vista, ca",0.4857,0.05,0.1667,-0.2264,2018
201807,94123,"san francisco, ca",-0.32,-0.1364,-0.5,-0.0329,2018
201807,94010,"burlingame, ca",-0.125,0.0233,-0.4444,0.0134,2018
201807,94507,"alamo, ca",0.0192,0.1053,0.5,-0.1422,2018
201807,94517,"clayton, ca",0,0.0167,0,-0.3333,2018
201807,95035,"milpitas, ca",1.6,0.15,0.5833,-1.1846,2018
201807,94063,"redwood city, ca",-0.0714,-0.3421,-0.25,0.1044,2018
201807,94306,"palo alto, ca",0.4167,-0.08,0.25,-0.402,2018
201807,94134,"san francisco, ca",-0.1364,0.1579,0,-0.4163,2018
201807,94043,"mountain view, ca",1,0.4688,0,-1.125,2018
201807,94114,"san francisco, ca",-0.1071,-0.3293,0,0.12,2018
201807,94523,"pleasant hill, ca",0.0455,0.2273,-0.3333,-0.0237,2018
