month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
201905,94506,"danville, ca",NULL,1625049.5,-0.0435,-0.045,107,0.163,0.5286,36.5,0.0429,0.058,68,0.4167,0.4167,0,NULL,NULL,24,-0.1429,1,51,0.1087,-0.0377,489.4190834,-0.0171,0.0004,3491,-0.0364,-0.0557,2130779,-0.0574,-0.0619,158,0.1449,0.2846,0.4766,-0.0234,-0.2805
201905,94970,"stinson beach, ca",*,2695050,0.4,NULL,14,1.3333,NULL,17,-0.4333,NULL,8,1,1,0,NULL,NULL,0,NULL,NULL,2,NULL,1,1756.161972,0.5993,0.8896,669,-0.4111,-0.6346,2934881,0.7198,0.5007,16,1.6667,3,0.1429,0.1429,-0.1905
201905,94086,"sunnyvale, ca",NULL,1499525,-0.0003,-0.1122,33,0.0313,0.9412,25.5,0.1087,0.2439,28,-0.2222,0,0,NULL,NULL,16,1,1,25,-0.1071,-0.2424,930.6730622,-0.0481,-0.0781,1384,0.0481,-0.2005,1435102,0.0258,-0.1478,58,-0.0333,0.16,0.7576,-0.1174,-1.1836
201905,94550,"livermore, ca",NULL,936550,-0.0037,-0.0578,102,0.1087,0.5938,26.5,0.1277,0.6061,80,-0.0909,-0.1667,4,NULL,NULL,24,-0.3333,1,67,0.0984,-0.1184,449.6977254,-0.0209,-0.0383,2080.5,0.0087,-0.0296,1188688,-0.0206,-0.7592,169,0.1046,0.2071,0.6569,-0.0062,-0.5306
201905,95620,"dixon, ca",*,495800,0.0092,NULL,36,0.3846,0.0588,19,-0.4795,-0.1739,40,1,0.4286,0,NULL,NULL,12,0.5,2,15,1.1429,0.1538,241.0233482,-0.0253,-0.0227,2062,0.0398,-0.0852,753834,-0.0191,0.0439,51,0.5455,0.0851,0.4167,0.1474,0.0343
201905,94109,"san francisco, ca",NULL,1250050,0.0101,-0.0234,74,-0.0133,0.1385,56.5,0.1649,0.3294,32,-0.2,-0.1111,0,NULL,NULL,12,0.5,0,40,0.1765,0.5385,993.5483871,0.0267,0.0161,1067,0.08,0,2267103,-0.0283,0.1847,114,0.0459,0.2527,0.5405,0.0872,0.1405
201905,94930,"fairfax, ca",NULL,1188050,-0.0431,0.0588,17,0.4167,0.8889,23.5,-0.0784,0.88,16,0.3333,1,0,NULL,NULL,4,NULL,NULL,4,0.3333,-0.2,600.3562465,-0.045,-0.0254,1813,0.0083,0.0128,1285212,-0.0015,0.1475,21,0.4,0.5,0.2353,-0.0147,-0.3203
201905,94102,"san francisco, ca",*,1045050,-0.0581,NULL,14,0.75,NULL,13.5,-0.4375,-0.5645,12,0.5,0.5,0,NULL,NULL,0,NULL,NULL,9,0.2857,-0.5263,1350.97493,0.0105,0.4291,725.5,-0.0663,0.3263,1159144,0.0479,0.326,23,0.5333,-0.2069,0.6429,-0.2321,-1.2571
201905,94526,"danville, ca",NULL,1285050,-0.0093,-0.2419,74,0.1746,0.0571,25,-0.0741,-0.0566,52,-0.1333,-0.1875,0,-1,NULL,28,0.4,0.75,48,-0.2,-0.2258,557.4929859,-0.0072,-0.0236,2281,-0.0174,-0.1801,1434350,-0.0304,-0.2292,122,-0.0081,-0.0758,0.6486,-0.3037,-0.2371
201905,94954,"petaluma, ca",NULL,657050,0.0396,-0.1378,30,0.4286,0.3636,17,0.1724,0.4783,36,0.2857,0.125,0,NULL,NULL,12,2,NULL,18,0.0588,-0.0526,409.4684259,-0.0292,0.0154,1635.5,0.0603,-0.1706,813973,0.1449,-0.3235,48,0.2632,0.1707,0.6,-0.2095,-0.2636
