regionname,city,incr_per,date,incr_type,year,month_date_yyyymm,postal_code,zip_name,active_listing_count_yy,median_days_on_market_yy,new_listing_count_yy,pending_ratio_yy,year-2
94109,San Francisco,0.011728145,202008,Stable_Incr,2020,202007,94109,"san francisco, ca",0.7536,-0.0118,0.5,-0.2405,2020
94565,Pittsburg,0.029679879,202008,Stable_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94501,Alameda,0.036315272,202008,Small_Incr,2020,202007,94501,"alameda, ca",-0.2143,0.0909,-0.3333,0.5931,2020
94110,San Francisco,0.016571582,202008,Stable_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94558,Napa,0.021611974,202008,Stable_Incr,2020,202007,94558,"napa, ca",-0.2304,-0.0571,0,0.2472,2020
94533,Fairfield,0.024796073,202008,Stable_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94536,Fremont,0.010590529,202008,Stable_Incr,2020,202007,94536,"fremont, ca",-0.562,-0.1905,-0.1667,0.7942,2020
95035,Milpitas,0.108589521,202008,Huge_Incr,2020,202007,95035,"milpitas, ca",-0.4862,-0.3235,-0.1765,0.2946,2020
94544,Hayward,0.039236322,202008,Small_Incr,2020,202007,94544,"hayward, ca",-0.4634,0.3906,-0.5294,0.9989,2020
94568,Dublin,0.014150735,202008,Stable_Incr,2020,202007,94568,"dublin, ca",-0.3881,-0.0517,0.1364,0.9341,2020
94509,Antioch,0.037161021,202008,Small_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94122,San Francisco,-0.002861157,202008,Small_Decr,2020,202007,94122,"san francisco, ca",0.3158,-0.1563,1.5,-0.0442,2020
94541,Hayward,0.045222356,202008,Small_Incr,2020,202007,94541,"hayward, ca",-0.5926,0.2097,-0.2,1.0887,2020
94538,Fremont,0.025252847,202008,Stable_Incr,2020,202007,94538,"fremont, ca",-0.3786,0.2286,-0.2941,0.2051,2020
94513,Brentwood,0.027474379,202008,Stable_Incr,2020,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94587,Union City,0.024063777,202008,Stable_Incr,2020,202007,94587,"union city, ca",-0.6481,-0.1429,-0.6316,0.7909,2020
94080,South San Francisco,0.05245136,202008,Moderate_Incr,2020,202007,94080,"south san francisco, ca",0.0811,-0.1964,-0.0833,-0.0351,2020
