regionname,city,Incr_Per,date,Incr_type,Year
94109,San Francisco,0.011728145,202008,Incr,2020
94565,Pittsburg,0.029679879,202008,Incr,2020
94501,Alameda,0.036315272,202008,Incr,2020
94110,San Francisco,0.016571582,202008,Incr,2020
94558,Napa,0.021611974,202008,Incr,2020
94533,Fairfield,0.024796073,202008,Incr,2020
94536,Fremont,0.010590529,202008,Incr,2020
95035,Milpitas,0.108589521,202008,Huge_Incr,2020
94544,Hayward,0.039236322,202008,Incr,2020
94568,Dublin,0.014150735,202008,Incr,2020
94509,Antioch,0.037161021,202008,Incr,2020
94122,San Francisco,-0.002861157,202008,Decr,2020
94541,Hayward,0.045222356,202008,Incr,2020
94538,Fremont,0.025252847,202008,Incr,2020
94513,Brentwood,0.027474379,202008,Incr,2020
94587,Union City,0.024063777,202008,Incr,2020
94080,South San Francisco,0.05245136,202008,Incr,2020
94112,San Francisco,0.041542875,202008,Incr,2020
94087,Sunnyvale,0.04773619,202008,Incr,2020
94086,Sunnyvale,0.106983705,202008,Huge_Incr,2020
94806,San Pablo,0.042725441,202008,Incr,2020
94591,Vallejo,0.025434248,202008,Incr,2020
94553,Martinez,0.048892784,202008,Incr,2020
94015,Daly City,0.072063952,202008,Incr,2020
94115,San Francisco,0.006423381,202008,Incr,2020
94117,San Francisco,0.000253415,202008,Incr,2020
94102,San Francisco,0.007777853,202008,Incr,2020
94121,San Francisco,-0.000636901,202008,Decr,2020
94611,Oakland,0.030503445,202008,Incr,2020
94550,Livermore,0.030204307,202008,Incr,2020
94577,San Leandro,0.04957085,202008,Incr,2020
94118,San Francisco,-0.018268244,202008,Decr,2020
94546,Castro Valley,0.047675046,202008,Incr,2020
94403,San Mateo,0.01774791,202008,Incr,2020
94103,San Francisco,-0.011867772,202008,Decr,2020
94590,Vallejo,0.017514726,202008,Incr,2020
94114,San Francisco,0.031613015,202008,Incr,2020
94107,San Francisco,-0.001648232,202008,Decr,2020
94539,Fremont,0.01742897,202008,Incr,2020
94010,Burlingame,0.023425173,202008,Incr,2020
94566,Pleasanton,0.004696399,202008,Incr,2020
94605,Oakland,0.050432484,202008,Incr,2020
94066,San Bruno,0.01710724,202008,Incr,2020
94601,Oakland,0.068526905,202008,Incr,2020
94610,Oakland,0.041987852,202008,Incr,2020
94025,Menlo Park,-0.002824295,202008,Decr,2020
95476,Sonoma,0.007910614,202008,Incr,2020
94901,San Rafael,0.05248053,202008,Incr,2020
94606,Oakland,0.045898268,202008,Incr,2020
94040,Mountain View,0.103878415,202008,Huge_Incr,2020
94608,Oakland,0.062625949,202008,Incr,2020
94404,Foster City,0.020332579,202008,Incr,2020
94116,San Francisco,-0.014676526,202008,Decr,2020
94804,Richmond,0.038541188,202008,Incr,2020
94560,Newark,0.018270348,202008,Incr,2020
94578,San Leandro,0.05360534,202008,Incr,2020
94044,Pacifica,0.030702088,202008,Incr,2020
94123,San Francisco,-0.022482308,202008,Decr,2020
94523,Pleasant Hill,0.04885932,202008,Incr,2020
94303,Palo Alto,0.034000501,202008,Incr,2020
94583,San Ramon,0.021485586,202008,Incr,2020
94954,Petaluma,0.011153681,202008,Incr,2020
94531,Antioch,0.017485728,202008,Incr,2020
94561,Oakley,0.022451158,202008,Incr,2020
95134,San Jose,0.095266978,202008,Incr,2020
94061,Redwood City,0.003139431,202008,Incr,2020
94401,San Mateo,0.005611987,202008,Incr,2020
94043,Mountain View,0.090626212,202008,Incr,2020
94131,San Francisco,0.027649918,202008,Incr,2020
94014,Daly City,-0.008512912,202008,Decr,2020
94520,Concord,0.062687693,202008,Incr,2020
94133,San Francisco,0.011376848,202008,Incr,2020
94941,Mill Valley,0.065150502,202008,Incr,2020
94526,Danville,0.045463722,202008,Incr,2020
94588,Pleasanton,0.008444117,202008,Incr,2020
94070,San Carlos,0.020082641,202008,Incr,2020
94903,San Rafael,0.073376597,202008,Incr,2020
94602,Oakland,0.045470099,202008,Incr,2020
94063,Redwood City,-0.001831036,202008,Decr,2020
94306,Palo Alto,0.108743756,202008,Huge_Incr,2020
94510,Benicia,0.014187499,202008,Incr,2020
94607,Oakland,0.049843827,202008,Incr,2020
94555,Fremont,-0.009190745,202008,Decr,2020
94134,San Francisco,0.033991983,202008,Incr,2020
94530,El Cerrito,0.081812504,202008,Incr,2020
94549,Lafayette,0.048258043,202008,Incr,2020
94002,Belmont,0.027898963,202008,Incr,2020
94596,Walnut Creek,-0.014082272,202008,Decr,2020
94559,Napa,0.037417542,202008,Incr,2020
94124,San Francisco,0.043493541,202008,Incr,2020
94132,San Francisco,0.005406034,202008,Incr,2020
94598,Walnut Creek,0.061922067,202008,Incr,2020
94609,Oakland,0.081383431,202008,Incr,2020
94402,San Mateo,0.024946288,202008,Incr,2020
94545,Hayward,0.033391004,202008,Incr,2020
94062,Redwood City,0.027185246,202008,Incr,2020
94585,Suisun City,0.020332904,202008,Incr,2020
94518,Concord,0.047979802,202008,Incr,2020
94595,Walnut Creek,0.031524644,202008,Incr,2020
94603,Oakland,0.057493127,202008,Incr,2020
94619,Oakland,0.04818383,202008,Incr,2020
94801,Richmond,0.047946929,202008,Incr,2020
94612,Oakland,0.028393217,202008,Incr,2020
94589,Vallejo,0.021732138,202008,Incr,2020
94621,Oakland,0.052620805,202008,Incr,2020
94580,San Lorenzo,0.067647095,202008,Incr,2020
94704,Berkeley,0.026897668,202008,Incr,2020
94947,Novato,0.037471424,202008,Incr,2020
94803,El Sobrante,0.020260671,202008,Incr,2020
94030,Millbrae,-0.01051313,202008,Decr,2020
94085,Sunnyvale,0.096912786,202008,Incr,2020
94703,Berkeley,0.040710269,202008,Incr,2020
94547,Hercules,0.059714154,202008,Incr,2020
94089,Sunnyvale,0.109548957,202008,Huge_Incr,2020
94506,Danville,0.024214872,202008,Incr,2020
94706,Albany,0.065296605,202008,Incr,2020
94024,Los Altos,0.101407449,202008,Huge_Incr,2020
94105,San Francisco,-0.011762064,202008,Decr,2020
94702,Berkeley,0.057544833,202008,Incr,2020
94301,Palo Alto,0.0640817,202008,Incr,2020
94127,San Francisco,0.021259689,202008,Incr,2020
95620,Dixon,0.002906261,202008,Incr,2020
94022,Los Altos,0.098052854,202008,Incr,2020
94618,Oakland,0.038464654,202008,Incr,2020
94563,Orinda,0.02787541,202008,Incr,2020
94108,San Francisco,-0.021742872,202008,Decr,2020
94564,Pinole,0.018601288,202008,Incr,2020
94949,Novato,0.017895214,202008,Incr,2020
94579,San Leandro,0.072932708,202008,Incr,2020
94945,Novato,0.020457991,202008,Incr,2020
94019,Half Moon Bay,-0.015955799,202008,Decr,2020
94705,Berkeley,0.043970844,202008,Incr,2020
94503,American Canyon,0.04143511,202008,Incr,2020
94960,San Anselmo,0.087432117,202008,Incr,2020
94920,Tiburon,0.093533387,202008,Incr,2020
94965,Sausalito,0.080745429,202008,Incr,2020
94507,Alamo,0.036307333,202008,Incr,2020
94556,Moraga,0.06189483,202008,Incr,2020
94709,Berkeley,0.042969646,202008,Incr,2020
94571,Rio Vista,0.011611494,202008,Incr,2020
94805,Richmond,0.032251782,202008,Incr,2020
94707,Berkeley,0.061667753,202008,Incr,2020
94904,Kentfield,0.085580917,202008,Incr,2020
94502,Alameda,0.042941158,202008,Incr,2020
94542,Hayward,0.063748586,202008,Incr,2020
94517,Clayton,0.017964392,202008,Incr,2020
94065,Redwood City,0.014144683,202008,Incr,2020
94552,Castro Valley,0.041567855,202008,Incr,2020
94708,Berkeley,0.05206136,202008,Incr,2020
94305,Stanford,0.08809186,202008,Incr,2020
94925,Corte Madera,0.065404339,202008,Incr,2020
94930,Fairfax,0.07586915,202008,Incr,2020
94939,Larkspur,0.079204371,202008,Incr,2020
94710,Berkeley,0.085820794,202008,Incr,2020
94572,Rodeo,0.050023343,202008,Incr,2020
94028,Portola Valley,-0.010385411,202008,Decr,2020
94304,Palo Alto,0.096059154,202008,Incr,2020
94027,Atherton,0.032468451,202008,Incr,2020
94111,San Francisco,-0.006923212,202008,Decr,2020
94038,Moss Beach,0.023590445,202008,Incr,2020
94005,Brisbane,0.07409342,202008,Incr,2020
94535,Fairfield,0.042194014,202008,Incr,2020
94525,Crockett,0.074842233,202008,Incr,2020
95002,San Jose,0.039301088,202008,Incr,2020
94973,Woodacre,0.036951721,202008,Incr,2020
94586,Sunol,-0.035416391,202008,Decr,2020
94933,Lagunitas,-0.01735834,202008,Decr,2020
94104,San Francisco,-0.055831821,202008,Decr,2020
94528,Diablo,0.018494545,202008,Incr,2020
94970,Stinson Beach,0.025381049,202008,Incr,2020
94514,Byron,0.054906851,202008,Incr,2020
94963,San Geronimo,0.043490382,202008,Incr,2020
94938,Lagunitas,0.0046209,202008,Incr,2020
