regionname,city,8/31/1996,8/31/1997,8/31/1998,8/31/1999,8/31/2000,8/31/2001,8/31/2002,8/31/2003,8/31/2004,8/31/2005,8/31/2006,8/31/2007,8/31/2008,8/31/2009,8/31/2010,8/31/2011,8/31/2012,8/31/2013,8/31/2014,8/31/2015,8/31/2016,8/31/2017,8/31/2018,8/31/2019,8/31/2020,199708,199808,199908,200008,200108,200208,200308,200408,200508,200608,200708,200808,200908,201008,201108,201208,201308,201408,201508,201608,201708,201808,201908,202008
94109,San Francisco,326085,353934,406629,471674,580761,679960,645122,677438,751273,872789,903311,928213,880778,793361,776888,735934,797920,934134,979067,1116705,1089613,1134028,1196188,1172905,1186661,0.0854,0.1489,0.1600,0.2313,0.1708,-0.0512,0.0501,0.1090,0.1617,0.0350,0.0276,-0.0511,-0.0992,-0.0208,-0.0527,0.0842,0.1707,0.0481,0.1406,-0.0243,0.0408,0.0548,-0.0195,0.0117
94501,Alameda,179692,191751,216239,236873,290329,341680,362073,399552,465506,542773,551865,530988,491643,488557,514616,472733,496718,633991,682303,771039,839699,906881,1015675,1043225,1081110,0.0671,0.1277,0.0954,0.2257,0.1769,0.0597,0.1035,0.1651,0.1660,0.0168,-0.0378,-0.0741,-0.0063,0.0533,-0.0814,0.0507,0.2764,0.0762,0.1301,0.0890,0.0800,0.1200,0.0271,0.0363
94110,San Francisco,280842,316693,363648,426798,539618,631868,646629,675601,782749,946830,949767,985492,922187,823216,842724,798767,873495,1048164,1225162,1394674,1395647,1482253,1632966,1585787,1612066,0.1277,0.1483,0.1737,0.2643,0.1710,0.0234,0.0448,0.1586,0.2096,0.0031,0.0376,-0.0642,-0.1073,0.0237,-0.0522,0.0936,0.2000,0.1689,0.1384,0.0007,0.0621,0.1017,-0.0289,0.0166
94558,Napa,177248,185732,200201,218762,262226,312395,346277,402110,467992,552615,578365,546110,485425,437324,405899,379944,398407,485951,540970,583670,627115,654739,693627,699242,714354,0.0479,0.0779,0.0927,0.1987,0.1913,0.1085,0.1612,0.1638,0.1808,0.0466,-0.0558,-0.1111,-0.0991,-0.0719,-0.0639,0.0486,0.2197,0.1132,0.0789,0.0744,0.0440,0.0594,0.0081,0.0216
94533,Fairfield,116887,116893,123492,134177,157244,193962,223244,261490,304510,377261,403354,365217,259941,194900,200413,184120,183226,236054,287865,296548,334908,365634,399032,406395,416472,0.0001,0.0565,0.0865,0.1719,0.2335,0.1510,0.1713,0.1645,0.2389,0.0692,-0.0945,-0.2883,-0.2502,0.0283,-0.0813,-0.0049,0.2883,0.2195,0.0302,0.1294,0.0917,0.0913,0.0185,0.0248
94536,Fremont,195629,213900,243266,263693,321675,386684,391153,412990,476168,580955,600086,573277,514602,475122,495486,449735,456652,609033,668669,769384,853426,904132,1089555,1030449,1041362,0.0934,0.1373,0.0840,0.2199,0.2021,0.0116,0.0558,0.1530,0.2201,0.0329,-0.0447,-0.1024,-0.0767,0.0429,-0.0923,0.0154,0.3337,0.0979,0.1506,0.1092,0.0594,0.2051,-0.0542,0.0106
95035,Milpitas,228073,249706,278125,306805,375880,440932,437999,440948,502924,608644,630898,631415,530070,497228,519945,490119,522446,650984,706943,762817,818112,883791,1100116,979100,1085420,0.0949,0.1138,0.1031,0.2251,0.1731,-0.0067,0.0067,0.1406,0.2102,0.0366,0.0008,-0.1605,-0.0620,0.0457,-0.0574,0.0660,0.2460,0.0860,0.0790,0.0725,0.0803,0.2448,-0.1100,0.1086
94544,Hayward,155153,160771,175789,190604,235744,288499,311118,337434,395304,481257,515310,491619,372561,303979,315435,288653,285749,387192,439665,484507,541626,583754,669917,652788,678401,0.0362,0.0934,0.0843,0.2368,0.2238,0.0784,0.0846,0.1715,0.2174,0.0708,-0.0460,-0.2422,-0.1841,0.0377,-0.0849,-0.0101,0.3550,0.1355,0.1020,0.1179,0.0778,0.1476,-0.0256,0.0392
94568,Dublin,239978,252417,276140,300863,361081,428004,439615,467752,546561,663717,684360,633026,557552,524993,534211,496086,504235,646511,715404,779952,837584,869895,964553,927655,940782,0.0518,0.0940,0.0895,0.2002,0.1853,0.0271,0.0640,0.1685,0.2144,0.0311,-0.0750,-0.1192,-0.0584,0.0176,-0.0714,0.0164,0.2822,0.1066,0.0902,0.0739,0.0386,0.1088,-0.0383,0.0142
94509,Antioch,73380,75226,82347,91021,103080,118687,136515,154704,193783,242727,251128,227786,173786,143761,142670,167357,188465,207410,225012,235463,250609,280857,328317,331584,343906,0.0252,0.0947,0.1053,0.1325,0.1514,0.1502,0.1332,0.2526,0.2526,0.0346,-0.0929,-0.2371,-0.1728,-0.0076,0.1730,0.1261,0.1005,0.0849,0.0464,0.0643,0.1207,0.1690,0.0100,0.0372
