regionname,city,Incr_Per,date,Incr_type,Year,month_date_yyyymm,postal_code,zip_name,active_listing_count_yy,median_days_on_market_yy,new_listing_count_yy,pending_ratio_yy
94109,San Francisco,0.011728145,202008,Incr,2020,202007,94109,"san francisco, ca",0.7536,-0.0118,0.5,-0.2405
94501,Alameda,0.036315272,202008,Incr,2020,202007,94501,"alameda, ca",-0.2143,0.0909,-0.3333,0.5931
94558,Napa,0.021611974,202008,Incr,2020,202007,94558,"napa, ca",-0.2304,-0.0571,0,0.2472
94536,Fremont,0.010590529,202008,Incr,2020,202007,94536,"fremont, ca",-0.562,-0.1905,-0.1667,0.7942
95035,Milpitas,0.108589521,202008,Huge_Incr,2020,202007,95035,"milpitas, ca",-0.4862,-0.3235,-0.1765,0.2946
94544,Hayward,0.039236322,202008,Incr,2020,202007,94544,"hayward, ca",-0.4634,0.3906,-0.5294,0.9989
94568,Dublin,0.014150735,202008,Incr,2020,202007,94568,"dublin, ca",-0.3881,-0.0517,0.1364,0.9341
94122,San Francisco,-0.002861157,202008,Decr,2020,202007,94122,"san francisco, ca",0.3158,-0.1563,1.5,-0.0442
94541,Hayward,0.045222356,202008,Incr,2020,202007,94541,"hayward, ca",-0.5926,0.2097,-0.2,1.0887
94538,Fremont,0.025252847,202008,Incr,2020,202007,94538,"fremont, ca",-0.3786,0.2286,-0.2941,0.2051
94587,Union City,0.024063777,202008,Incr,2020,202007,94587,"union city, ca",-0.6481,-0.1429,-0.6316,0.7909
94080,South San Francisco,0.05245136,202008,Incr,2020,202007,94080,"south san francisco, ca",0.0811,-0.1964,-0.0833,-0.0351
94112,San Francisco,0.041542875,202008,Incr,2020,202007,94112,"san francisco, ca",-0.1556,0.3939,0,0.1854
94087,Sunnyvale,0.04773619,202008,Incr,2020,202007,94087,"sunnyvale, ca",-0.069,-0.4667,1,0.6117
94086,Sunnyvale,0.106983705,202008,Huge_Incr,2020,202007,94086,"sunnyvale, ca",-0.25,-0.0333,-0.1429,0.2143
94806,San Pablo,0.042725441,202008,Incr,2020,202007,94806,"san pablo, ca",-0.3333,-0.4884,-0.1111,0.8095
94553,Martinez,0.048892784,202008,Incr,2020,202007,94553,"martinez, ca",-0.3651,-0.1579,0,0.7956
94015,Daly City,0.072063952,202008,Incr,2020,202007,94015,"daly city, ca",0.4333,0.6471,-0.25,-0.4837
94121,San Francisco,-0.000636901,202008,Decr,2020,202007,94121,"san francisco, ca",0.5789,-0.1563,0.75,0.1842
94611,Oakland,0.030503445,202008,Incr,2020,202007,94611,"oakland, ca",-0.0333,-0.1159,0,-0.0379
94577,San Leandro,0.04957085,202008,Incr,2020,202007,94577,"san leandro, ca",-0.129,-0.1429,-0.4,0.4313
94118,San Francisco,-0.018268244,202008,Decr,2020,202007,94118,"san francisco, ca",0.7222,-0.25,1.3333,0.0341
94546,Castro Valley,0.047675046,202008,Incr,2020,202007,94546,"castro valley, ca",-0.3043,0.1754,0,0.8696
94403,San Mateo,0.01774791,202008,Incr,2020,202007,94403,"san mateo, ca",-0.0263,-0.05,0.6,0.0768
94590,Vallejo,0.017514726,202008,Incr,2020,202007,94590,"vallejo, ca",-0.102,-0.2297,0,0.66
94539,Fremont,0.01742897,202008,Incr,2020,202007,94539,"fremont, ca",-0.0971,-0.125,0.3333,0.3249
94010,Burlingame,0.023425173,202008,Incr,2020,202007,94010,"burlingame, ca",-0.1781,-0.1042,0,0.0902
94605,Oakland,0.050432484,202008,Incr,2020,202007,94605,"oakland, ca",0.0313,0.3478,-0.3684,0.1023
