"month_date_yyyymm","postal_code","zip_name","nielsen_hh_rank","hotness_rank","hotness_rank_mm","hotness_rank_yy","hotness_score","supply_score","demand_score","median_days_on_market","median_days_on_market_mm","median_dom_mm_day","median_days_on_market_yy","median_dom_yy_day","median_dom_vs_us","ldpviews_per_property_mm","ldpviews_per_property_yy","ldpviews_per_property_vs_us","median_listing_price","median_listing_price_mm","median_listing_price_yy","median_listing_price_vs_us"
202008,94523,"pleasant hill, ca",2019,1305,-908,-1064,83.375276,82.27712957,84.47342332,35,0.5909,13,0.129,4,-21,-0.0091,0.5581,1.8013,748938,-0.0615,-0.0808,2.1403
202008,94115,"san francisco, ca",897,4664,-719,-3888,60.119729,82.27712957,37.96232746,35,0.0448,1.5,0.1667,5,-21,0.004,0.0678,0.8344,1699050,-0.0358,-0.2697,4.8557
202008,94566,"pleasanton, ca",1308,3398,-381,-206,67.81057,60.306566,75.31457332,47,0.0805,3.5,0.0682,3,-9,0.1802,1.5111,1.4967,1309050,0.0599,0.017,3.7411
202008,94954,"petaluma, ca",2133,1221,276,-501,84.183635,76.27545184,92.09181728,38,-0.038,-1.5,0.2258,7,-18,0.2909,1.7267,2.2185,825050,0.0261,0.2132,2.3578
202008,94559,"napa, ca",4204,6653,-558,149,49.256463,39.28925494,59.22367117,60,0.0435,2.5,0.0169,1,4,0.1146,1.2854,1.1589,869050,-0.075,0.0229,2.4836
202008,94965,"sausalito, ca",7243,6123,-3378,-2811,52.16579,45.48158316,58.84999619,56,0.6232,21.5,0.0769,4,0,0.0841,0.6132,1.1523,2625050,0.0057,0.1718,7.5021
202008,94605,"oakland, ca",1418,3452,-1189,-2120,67.436895,80.07320979,54.80057958,36,0.1613,5,0.2857,8,-20,-0.024,0.6657,1.0795,659050,0.007,0.0491,1.8834
202008,94547,"hercules, ca",5311,1071,-838,-406,85.487684,78.23533898,92.74002898,37,1.1765,20,0.0571,2,-19,0.125,1.4404,2.2649,690049,-0.041,0.0708,1.972
202008,94542,"hayward, ca",8408,750,-494,-216,88.900328,93.63989934,84.1607565,25,0.2195,4.5,-0.2424,-8,-31,-0.1191,0.9286,1.7881,1068050,-0.1785,0.268,3.0523
202008,94526,"danville, ca",2987,547,-57,274,91.19576,88.87363685,93.51788302,30,0.0714,2,-0.1892,-7,-26,0.2117,1.522,2.3311,1325050,-0.0903,-0.0011,3.7868
