"regionid","sizerank","regionname","regiontype","statename","state","city","metro","countyname","1/31/1996","2/29/1996","3/31/1996","4/30/1996","5/31/1996","6/30/1996","7/31/1996","8/31/1996","9/30/1996","10/31/1996","11/30/1996","12/31/1996","1/31/1997","2/28/1997","3/31/1997","4/30/1997","5/31/1997","6/30/1997","7/31/1997","8/31/1997","9/30/1997","10/31/1997","11/30/1997","12/31/1997","1/31/1998","2/28/1998","3/31/1998","4/30/1998","5/31/1998","6/30/1998","7/31/1998","8/31/1998","9/30/1998","10/31/1998","11/30/1998","12/31/1998","1/31/1999","2/28/1999","3/31/1999","4/30/1999","5/31/1999","6/30/1999","7/31/1999","8/31/1999","9/30/1999","10/31/1999","11/30/1999","12/31/1999","1/31/2000","2/29/2000","3/31/2000","4/30/2000","5/31/2000","6/30/2000","7/31/2000","8/31/2000","9/30/2000","10/31/2000","11/30/2000","12/31/2000","1/31/2001","2/28/2001","3/31/2001","4/30/2001","5/31/2001","6/30/2001","7/31/2001","8/31/2001","9/30/2001","10/31/2001","11/30/2001","12/31/2001","1/31/2002","2/28/2002","3/31/2002","4/30/2002","5/31/2002","6/30/2002","7/31/2002","8/31/2002","9/30/2002","10/31/2002","11/30/2002","12/31/2002","1/31/2003","2/28/2003","3/31/2003","4/30/2003","5/31/2003","6/30/2003","7/31/2003","8/31/2003","9/30/2003","10/31/2003","11/30/2003","12/31/2003","1/31/2004","2/29/2004","3/31/2004","4/30/2004","5/31/2004","6/30/2004","7/31/2004","8/31/2004","9/30/2004","10/31/2004","11/30/2004","12/31/2004","1/31/2005","2/28/2005","3/31/2005","4/30/2005","5/31/2005","6/30/2005","7/31/2005","8/31/2005","9/30/2005","10/31/2005","11/30/2005","12/31/2005","1/31/2006","2/28/2006","3/31/2006","4/30/2006","5/31/2006","6/30/2006","7/31/2006","8/31/2006","9/30/2006","10/31/2006","11/30/2006","12/31/2006","1/31/2007","2/28/2007","3/31/2007","4/30/2007","5/31/2007","6/30/2007","7/31/2007","8/31/2007","9/30/2007","10/31/2007","11/30/2007","12/31/2007","1/31/2008","2/29/2008","3/31/2008","4/30/2008","5/31/2008","6/30/2008","7/31/2008","8/31/2008","9/30/2008","10/31/2008","11/30/2008","12/31/2008","1/31/2009","2/28/2009","3/31/2009","4/30/2009","5/31/2009","6/30/2009","7/31/2009","8/31/2009","9/30/2009","10/31/2009","11/30/2009","12/31/2009","1/31/2010","2/28/2010","3/31/2010","4/30/2010","5/31/2010","6/30/2010","7/31/2010","8/31/2010","9/30/2010","10/31/2010","11/30/2010","12/31/2010","1/31/2011","2/28/2011","3/31/2011","4/30/2011","5/31/2011","6/30/2011","7/31/2011","8/31/2011","9/30/2011","10/31/2011","11/30/2011","12/31/2011","1/31/2012","2/29/2012","3/31/2012","4/30/2012","5/31/2012","6/30/2012","7/31/2012","8/31/2012","9/30/2012","10/31/2012","11/30/2012","12/31/2012","1/31/2013","2/28/2013","3/31/2013","4/30/2013","5/31/2013","6/30/2013","7/31/2013","8/31/2013","9/30/2013","10/31/2013","11/30/2013","12/31/2013","1/31/2014","2/28/2014","3/31/2014","4/30/2014","5/31/2014","6/30/2014","7/31/2014","8/31/2014","9/30/2014","10/31/2014","11/30/2014","12/31/2014","1/31/2015","2/28/2015","3/31/2015","4/30/2015","5/31/2015","6/30/2015","7/31/2015","8/31/2015","9/30/2015","10/31/2015","11/30/2015","12/31/2015","1/31/2016","2/29/2016","3/31/2016","4/30/2016","5/31/2016","6/30/2016","7/31/2016","8/31/2016","9/30/2016","10/31/2016","11/30/2016","12/31/2016","1/31/2017","2/28/2017","3/31/2017","4/30/2017","5/31/2017","6/30/2017","7/31/2017","8/31/2017","9/30/2017","10/31/2017","11/30/2017","12/31/2017","1/31/2018","2/28/2018","3/31/2018","4/30/2018","5/31/2018","6/30/2018","7/31/2018","8/31/2018","9/30/2018","10/31/2018","11/30/2018","12/31/2018","1/31/2019","2/28/2019","3/31/2019","4/30/2019","5/31/2019","6/30/2019","7/31/2019","8/31/2019","9/30/2019","10/31/2019","11/30/2019","12/31/2019","1/31/2020","2/29/2020","3/31/2020","4/30/2020","5/31/2020","6/30/2020","7/31/2020","8/31/2020"
97564,13,94109,"Zip","CA","CA","San Francisco","San Francisco-Oakland-Hayward","San Francisco County",328656,327157,326747,325688,325513,325259,325426,326085,327327,328464,329921,331399,334219,337763,341154,343174,345254,347819,351197,353934,356672,359996,363955,368250,371867,375649,379155,384920,390020,395969,400693,406629,412495,418812,423834,428946,432610,437739,443613,450005,455716,461117,466415,471674,476517,481914,488954,497384,506542,514988,524214,534244,545286,556052,568185,580761,593739,605518,619739,636061,653101,665383,672279,676651,680169,683220,682606,679960,677412,675206,669988,658425,648174,639741,636775,633211,633564,634867,638836,645122,648859,652139,653249,658320,661203,667081,671278,676395,675173,674747,675472,677438,679200,680404,684545,689680,699018,706848,714657,719938,727973,736246,744959,751273,761183,772364,783801,793454,801095,813499,822898,835916,846458,857220,865824,872789,881338,891052,898144,904488,906606,903044,900404,896125,898026,899813,901796,903311,901181,897622,895041,894696,895849,902157,909094,920351,924172,926043,925560,928213,931456,931939,932908,927527,922934,910681,904798,898525,899605,895377,888527,880778,875753,872009,866839,859629,853289,845027,836597,823630,810556,802243,799730,793361,783473,776628,773065,779526,783429,791590,789640,788592,784869,783770,777648,776888,775623,775621,771473,761928,753677,745415,743861,744254,743547,739767,738304,735934,736226,734071,734651,736499,737946,745254,752299,759535,764608,771645,783563,797920,813628,827757,836971,844821,858342,863501,872730,879193,894934,910789,922021,934134,938943,941923,944351,955192,963694,972357,974835,980166,985264,984191,985752,979067,978317,981037,997972,1005730,1008214,1018693,1035209,1055343,1061114,1077423,1096606,1116705,1131569,1140031,1140317,1146718,1158774,1162418,1155233,1136955,1131518,1120457,1104749,1089613,1085109,1090182,1097933,1099771,1099426,1094985,1093490,1097615,1106142,1113308,1122131,1134028,1143550,1146163,1146567,1145084,1142189,1143797,1156643,1170884,1177724,1186389,1191280,1196188,1194265,1191366,1184634,1174880,1176556,1175798,1173949,1166847,1170041,1173987,1175634,1172905,1172033,1179575,1187876,1199675,1203184,1206697,1204845,1205072,1199464,1192642,1188599,1186661
97771,40,94565,"Zip","CA","CA","Pittsburg","San Francisco-Oakland-Hayward","Contra Costa County",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,302196,299986,298494,295214,292679,293164,294399,295918,293922,292703,290745,291952,291921,291627,288337,286132,284218,279780,275773,272548,274971,275242,276989,274592,273599,274377,278563,283071,286986,289221,288608,287529,285449,286685,288013,290960,295379,300278,306826,311991,315483,318936,325495,329455,333647,337028,341232,344032,345465,349787,356443,363659,371562,380422,386028,393662,398179,404130,408849,415425,422012,423356,418815,415793,417484,424203,432814,435774,443230,446582,456290,461202,467651,473394,480969,485349,484553,477221,470979,472300,472640,478669,474951,476204,473714,476090,479695,485025,491262,500375,505017,508109,507042,506404,508146,509815,512523,514930,517926,522123,525119,525299,526590,528843,534241,536508,541330,546152,554440,560530,563953,563613,566124,570053,574760,573886,575168,575714,575382,571600,570501,569250,567959,566458,568645,570284,570489,568129,565420,564889,565022,567631,566696,567253,569358,573486,574099,575338,577656,584991
97711,88,94501,"Zip","CA","CA","Alameda","San Francisco-Oakland-Hayward","Alameda County",183472,182506,182232,181509,181323,180685,180085,179692,179716,180205,180693,181427,181940,183043,183905,185028,186190,187999,190046,191751,193335,194637,196340,198411,200608,202961,205205,207647,209353,211240,213584,216239,218974,220516,222341,223072,224985,226486,228338,229229,230116,232415,233869,236873,238932,244155,248218,253217,257756,262673,266776,271150,277638,282268,287612,290329,295954,300673,305964,311565,315191,319060,324448,330064,334363,336662,339122,341680,342635,342216,342318,341694,342019,342530,342881,345311,347522,352446,356432,362073,367323,372703,376999,380740,384035,387690,390659,393010,394171,395517,397693,399552,401224,403930,408649,414273,420661,425292,431685,436731,444136,450880,458700,465506,473754,480300,487495,494228,501490,509139,515473,523238,530375,536372,539337,542773,546204,551461,553232,554598,553406,554954,555035,553987,551782,551075,551203,551865,550125,549702,548169,548153,547111,542839,540429,539090,537772,534094,531942,530988,531308,526318,523212,516664,515133,511160,507156,502698,500530,498072,495672,491643,487644,482517,475955,473854,471840,477593,482016,484139,481509,484343,485325,488557,489305,496623,505107,512355,517823,518548,519458,521379,526021,526145,523996,514616,507505,500183,499169,495192,490815,485683,482045,475572,467837,460460,464147,472733,482775,483837,478270,474024,471141,470831,470513,474328,481191,490084,492514,496718,499605,509873,521634,535121,549725,560481,573801,588097,606020,621715,630441,633991,637754,644682,653814,663244,669807,678500,681074,681820,677468,674538,676773,682303,687511,692623,698304,703234,706164,710139,720046,731290,740539,748880,758814,771039,785353,793791,797915,802942,812642,823502,825728,829078,834023,840216,840684,839699,837072,842488,849482,855268,859200,862703,872796,878614,883929,891606,900282,906881,917153,925777,937824,950753,963459,972006,975403,982127,991007,996706,1005474,1015675,1021700,1026041,1027776,1022280,1010940,1006202,1009908,1018837,1029755,1040134,1046708,1043225,1043489,1044135,1047236,1055178,1067691,1076863,1080996,1080102,1076650,1074598,1074008,1081110
97565,94,94110,"Zip","CA","CA","San Francisco","San Francisco-Oakland-Hayward","San Francisco County",285484,283955,283047,281716,281087,280453,279877,280842,282586,284292,285272,287064,290126,294267,298581,302459,306224,309896,313855,316693,319708,323463,328094,332057,334643,337207,340015,343331,347130,352407,358533,363648,368103,372324,378472,384490,390627,396750,402237,407067,410678,415564,420651,426798,432098,438614,445048,452757,461233,468720,478029,487987,500409,512457,525336,539618,554109,568535,582711,598183,611570,623298,630720,637788,641328,640861,636847,631868,629497,626441,623464,617740,614454,610315,610125,608814,614156,624048,636451,646629,651418,655684,657329,660503,662224,669228,675116,682844,680371,676741,672711,675601,679616,683522,689500,696990,708430,717767,727481,734615,746907,758971,772704,782749,796753,813359,830681,845993,857651,872986,884599,899369,912166,925941,938942,946830,956848,964633,968987,970574,969029,963721,959390,954536,954437,953956,950505,949767,945105,940299,938138,941954,947522,955175,961448,971377,974501,978067,980845,985492,990853,992482,994343,986125,980207,968009,963775,955670,954625,944617,933448,922187,911598,903702,893015,884086,876266,866511,859191,846972,834464,827726,828102,823216,815608,811794,813738,824662,828527,836964,833519,838086,840455,844942,840123,842724,845781,847017,840640,828134,822644,817043,817830,816102,813876,808068,805154,798767,795962,796145,801346,806859,805491,810024,815438,822088,825365,832909,848709,873495,896379,910432,916204,923557,945119,954650,965994,973692,998709,1023644,1040320,1048164,1053173,1063390,1079328,1102455,1118317,1144200,1164871,1189415,1203684,1210466,1220665,1225162,1233642,1242776,1263596,1275075,1281286,1292992,1312709,1336584,1341697,1356071,1373724,1394674,1412908,1426195,1429733,1435124,1448922,1453721,1446996,1422499,1418465,1410051,1402658,1395647,1401176,1410890,1426374,1433356,1435597,1427824,1423492,1430705,1444939,1458353,1470518,1482253,1487244,1489256,1492452,1505536,1514176,1529503,1554338,1584964,1600940,1620504,1624150,1632966,1625332,1625021,1614984,1600412,1596682,1593731,1592024,1580414,1582137,1583441,1591184,1585787,1588245,1593301,1604555,1615289,1620314,1623580,1621014,1621355,1616660,1611109,1607900,1612066
97764,135,94558,"Zip","CA","CA","Napa","Napa","Napa County",182930,182050,181330,180116,179099,178299,177579,177248,177157,177351,177566,177828,178316,179120,180153,180975,182156,183308,184731,185732,186879,187787,189059,190527,191884,193162,194320,195743,196683,197784,198795,200201,201303,202697,203823,204842,205879,207282,208886,210558,212428,214414,216516,218762,221215,223774,226810,230419,234433,237917,241350,244718,248702,252790,257576,262226,267066,271635,276240,280991,285586,290134,294393,298934,303190,307086,309863,312395,314681,317168,319757,321928,324211,326824,330087,332969,335923,339081,342679,346277,349477,352998,357318,362582,368254,372947,377578,382121,387257,391730,396384,402110,409519,416599,421409,424912,428419,434574,440608,446780,450230,454690,461097,467992,474816,480331,487046,493892,501301,506621,512619,518068,527277,537693,545687,552615,555825,561804,567874,575340,577375,579545,579558,583389,584101,583503,581366,578365,576540,575052,574085,571862,569543,566055,562469,558072,554095,550115,547977,546110,547511,542844,537907,527355,528181,526757,527657,519495,514216,505515,495740,485425,474399,469673,461901,462159,451678,446560,441052,442463,440707,440036,439836,437324,431205,423562,420670,416756,418309,417408,413541,408904,405150,403699,402004,405899,414593,420965,422575,418279,412079,405814,403725,400937,398117,393863,388621,379944,370970,365023,363652,365502,367316,368725,367913,369535,372361,378092,388004,398407,405278,410399,414051,418713,423843,432205,443784,454211,463524,471636,477354,485951,495275,504605,511590,520793,529985,535674,537785,541255,545252,546105,544600,540970,541074,543314,547499,548845,550715,554285,558925,561012,563578,568985,577569,583670,587897,590536,594541,599187,603421,608092,611510,615285,618149,620520,622816,627115,631797,636146,640014,642982,645501,646166,647762,648991,651248,652837,653711,654739,656631,657599,659173,660047,663968,666239,671086,677488,682199,687153,689350,693627,694114,697929,699346,703290,705664,709818,709502,705996,703508,703097,702413,699242,697147,695067,694770,693290,691986,690989,692339,695810,699622,702518,707692,714354
97740,154,94533,"Zip","CA","CA","Fairfield","Vallejo-Fairfield","Solano County",120869,120143,119705,118722,118134,117615,117183,116887,116545,116442,116258,116200,116068,116186,116295,116566,116567,116659,116805,116893,117219,117414,117870,118225,118855,119624,120401,121064,121582,122099,122730,123492,124288,125008,125652,126397,126976,127608,128251,129325,130596,131954,133128,134177,135226,136510,138273,140349,142858,144867,146994,148653,150469,152287,154362,157244,160254,163469,166090,168243,170316,173684,177257,180687,184064,187525,191417,193962,196765,199120,201865,204778,207512,209112,210535,212516,214837,217518,219908,223244,226120,229328,232337,235581,239123,243171,247031,250662,253976,256664,259227,261490,263933,266104,269013,272299,275972,279263,282753,286321,289842,294170,298978,304510,310590,316954,323578,329619,335038,339021,343765,349315,356695,363760,370902,377261,382412,387001,390312,394260,396926,401757,404370,406168,407084,407489,405986,403354,400572,398069,395284,391301,387581,382708,379910,378581,374733,370499,367178,365217,363423,360263,354199,344827,333056,322993,313182,302136,290745,279762,269606,259941,249170,238055,228020,222481,221023,219967,215945,211321,207886,204999,199995,194900,192016,192203,193976,194941,194820,193095,194123,194572,196058,196153,198901,200413,201723,201288,201413,199596,196266,193665,191445,190801,188710,186972,185276,184120,183455,182553,180511,178880,178147,178552,178172,177796,177574,179221,180401,183226,184547,185855,187948,192249,197853,202414,207995,214001,220368,225983,231506,236054,241141,248167,254748,260113,263503,268302,271318,273804,277141,281210,285114,287865,290849,290649,291050,290681,292544,293606,296030,298146,298832,297472,296296,296548,298016,302624,305877,309891,311828,313008,314152,315305,318897,324009,330011,334908,338116,339525,342265,344732,347165,351353,355093,359805,361798,363377,363722,365634,368900,372534,375638,379468,385873,389171,390767,390518,392610,395249,397865,399032,400119,401231,403212,404199,401222,400238,399799,402087,402524,402896,404736,406395,407808,408465,408688,409189,411337,412886,414798,415164,416182,416835,416451,416472
97743,231,94536,"Zip","CA","CA","Fremont","San Francisco-Oakland-Hayward","Alameda County",195162,194745,194739,194682,195065,195210,195337,195629,196341,197517,198624,199800,200596,201897,203290,205136,207015,209016,211481,213900,216310,218219,220486,223156,226040,228673,231078,233371,235267,237770,240636,243266,245579,246898,248572,249532,251803,254356,256862,258514,259349,261369,261727,263693,264931,269729,273724,278452,282919,287624,291833,296466,303650,309245,316482,321675,329821,336232,343061,350677,356635,362651,369524,376152,380887,383077,384909,386684,387088,386198,385140,382231,379415,376652,374993,375712,377529,382393,386634,391153,394590,398082,400879,403644,406434,410090,412418,413937,413117,412372,412130,412990,414098,416438,420724,425562,431423,435510,441579,446378,453633,460332,468569,476168,485096,492698,501381,510371,520042,529645,538035,548309,558707,568598,575144,580955,586364,593605,597026,600394,599579,602449,603325,603739,601762,600262,599358,600086,598916,598976,597374,596799,595672,590242,586655,583767,582146,578197,575800,573277,572246,565158,561105,552912,550680,546602,542687,535969,530641,524933,520217,514602,508503,502022,492867,488347,482960,484198,483797,483040,477284,477487,475622,475122,472828,476607,483753,489611,493735,493823,493939,494573,499728,500629,499567,495486,492576,489065,485198,480151,475716,471649,469573,465790,459235,451318,450090,449735,452086,448888,445206,441164,437607,435490,433119,434090,437902,445442,449733,456652,462289,472809,483359,495552,509175,521007,536009,552006,571560,588552,601196,609033,615103,622213,631698,642892,651466,660364,663435,664877,661609,659738,662244,668669,676202,683497,691153,696740,701647,706255,716051,726794,736737,745965,756714,769384,784632,794642,800305,806800,816795,829829,835080,840461,845675,851375,853224,853426,849909,853320,857349,862744,865797,869311,877508,880968,883395,888451,895813,904132,916778,930054,946082,962897,978762,989794,999211,1016659,1040719,1060823,1078690,1089555,1095985,1095314,1093432,1083484,1071253,1064120,1058865,1055278,1051757,1049702,1042629,1030449,1021710,1018586,1016545,1019160,1024190,1027898,1030911,1030488,1027790,1026186,1029931,1041362
97940,306,95035,"Zip","CA","CA","Milpitas","San Jose-Sunnyvale-Santa Clara","Santa Clara County",230518,229650,229185,228296,227849,227693,227662,228073,228506,229409,230624,232201,234183,236398,238661,240958,243018,245218,247346,249706,252229,254517,257016,259582,261535,263475,265516,268239,271020,273308,275982,278125,281032,283638,285332,286230,287945,290744,293511,294832,296858,299794,303699,306805,309131,312208,316641,322597,328361,333402,338153,345011,351493,359728,366453,375880,385271,394970,404952,413699,422373,428700,435115,439688,443233,443212,442484,440932,439590,436819,431796,427433,423371,423161,424114,425626,428398,431406,435901,437999,439072,440871,443445,444718,445389,445728,445482,444747,442087,441018,439915,440948,444040,446765,450291,454421,460182,464852,468899,474652,481692,489646,495803,502924,508620,516650,525634,535155,543895,552445,564993,574485,584424,590683,600389,608644,615832,620663,623465,626921,630361,633488,630700,629565,628887,632098,632787,630898,632714,633929,635423,635290,633507,633759,635787,636643,635546,631654,630420,631415,630690,627018,620193,609360,596954,581770,569468,561722,556557,549576,539734,530070,518152,508031,500036,500740,504039,509874,505917,501710,495914,497275,498789,497228,498347,501877,509457,512390,514892,516137,525737,528528,531590,524968,521109,519945,523400,524983,519739,513328,508478,502599,496433,491928,487980,489531,488399,490119,483958,478611,479286,479978,480602,482288,486339,494370,500389,506572,514900,522446,532975,543638,554235,565069,574898,582460,591157,601374,617599,633476,644741,650984,654633,660865,661740,669432,678446,693007,697377,697212,694202,694194,700674,706943,717578,723741,734154,736804,738364,738825,748578,755549,762432,760386,759891,762817,768504,774657,778961,784488,790724,793578,795310,801021,802755,809095,810974,818112,819107,822666,825359,831529,836440,843058,844290,847964,852520,862271,870945,883791,901896,923420,944681,965638,986223,1007531,1029959,1047194,1069694,1086743,1103199,1100116,1088457,1075846,1064677,1051318,1031206,1013523,999004,996892,994398,990814,984050,979100,982217,983039,987760,993925,1006224,1017520,1029142,1034748,1039941,1048965,1062968,1085420
97751,314,94544,"Zip","CA","CA","Hayward","San Francisco-Oakland-Hayward","Alameda County",155872,155244,155167,154989,155235,155226,155117,155153,155380,155785,156122,156513,156551,156973,157259,157710,158112,158749,159882,160771,161602,162165,163025,164206,165674,167319,168961,170623,171731,173031,174352,175789,177374,178398,179678,180326,181844,183442,184970,185847,186456,188086,188818,190604,191895,195992,199331,203368,207066,210910,214419,218094,223380,227360,232276,235744,241060,244982,249469,254198,257792,261539,266633,272290,277343,281083,284879,288499,291102,292816,294471,295254,296263,297113,297823,299426,301086,304629,307538,311118,314115,317188,319598,322046,324528,327736,330060,332275,333019,334058,335406,337434,339362,342248,346649,351314,356712,360693,366410,370822,377027,382602,389432,395304,402510,408387,415361,422482,430138,437778,444072,452086,460379,468718,474886,481257,487184,494621,498482,502291,502475,506043,508803,511547,512298,513059,514025,515310,514469,514383,513184,512738,511747,507041,504561,502310,501042,496979,494625,491619,488561,479525,472622,462333,456073,446380,435217,421381,408651,396621,384108,372561,362631,354101,343445,335431,327316,325049,321730,318973,313487,311644,308178,303979,299447,298977,301993,304760,307371,307750,308925,309890,312938,313671,314246,315435,316040,315650,313258,310237,307287,304216,302064,298951,294552,289895,289491,288653,289368,286394,284027,281274,278960,277772,277196,278678,281234,284277,284097,285749,287598,293746,300211,307810,316438,323477,330698,338291,349461,362752,376841,387192,395109,401452,409533,418525,424754,431124,435179,438580,438374,436903,436941,439665,442945,446001,448312,450389,452475,455413,460816,466719,471339,474971,478779,484507,493232,499563,503706,507258,513712,521050,524555,528278,532749,537498,539906,541626,540690,544299,547471,551255,552699,554839,560143,563215,566238,571106,578292,583754,591224,598031,607250,617265,626459,633214,638279,646340,656454,663345,667743,669917,671680,670862,669835,663147,656423,652523,650742,651625,653521,656385,656259,652788,650456,650668,651246,655352,660404,664512,667712,668230,667318,667194,670566,678401
97774,339,94568,"Zip","CA","CA","Dublin","San Francisco-Oakland-Hayward","Alameda County",241075,240449,240350,240084,240216,240117,239945,239978,240206,241171,242069,243081,243344,244081,244877,246061,247439,248833,250697,252417,254272,255107,256175,257694,260129,262548,264727,266847,268392,270622,273467,276140,279020,280600,283007,284327,286904,289513,292213,294276,295613,298145,298650,300863,301979,308294,313063,319052,323935,329459,334130,338561,345518,350674,357262,361081,367470,371683,376948,383589,388832,394222,401191,409019,415754,419791,423760,428004,431451,433006,434338,432390,430881,428596,426941,427224,427721,431813,435063,439615,443126,446660,449083,452177,455371,459874,462771,464798,464557,464802,465990,467752,469418,472517,477786,483504,490111,495007,502607,509242,519066,527706,537692,546561,557544,566905,577562,588015,599018,609750,618704,629669,640317,650576,657419,663717,668771,675867,679253,683718,683551,687294,688938,689756,687742,685965,684486,684360,682002,681088,677648,674154,670257,661974,655898,649852,645462,639414,636297,633026,631473,622812,618077,609573,607177,601311,594867,587099,581400,574333,566246,557552,549525,542288,532467,527137,520909,523670,525973,527425,522995,524488,524621,524993,522021,524892,531076,536733,540321,539330,538375,537485,541407,540665,537985,534211,533736,533124,531079,526221,523075,519031,515630,510034,502008,494864,494801,496086,498319,494148,489412,485613,482276,481069,479896,482755,487732,495393,498881,504235,508466,518046,528055,539300,551348,561689,575555,589899,608045,624121,637818,646511,653588,661177,672251,684407,693505,702055,705990,708731,707845,706701,709697,715404,721304,726270,730716,734397,737519,740868,748023,755559,761293,766587,771757,779952,791769,799451,802463,805860,813445,823513,825510,828286,831503,836043,837615,837584,834576,837496,840918,843682,843842,845015,851991,854387,856266,860144,865827,869895,876946,884012,894230,906006,917219,924166,928146,936601,948171,955554,961131,964553,965524,962916,959515,950337,938723,931277,927770,928572,930901,934405,933771,927655,923239,922532,922553,925925,931779,936418,939071,937660,934115,931607,933217,940782
