Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY ,NASDAQ VALUE CHANGE,Population,Incr_Speed
"San Francisco, CA",12-Feb,$649K,0.04,0.04,182.00,0.48,0.43,224.00,0.10,-0.18,340.00,0.06,-0.39,39.00,-18.00,-16.00,1.00,0.01,0.01,0.06,0.02,high
"San Francisco, CA",12-Mar,$725K,0.12,-0.03,211.00,0.16,-0.04,278.00,0.24,-0.16,357.00,0.05,-0.43,21.00,-18.00,-2.00,1.02,0.02,0.02,0.05,0.02,high
"San Francisco, CA",12-Apr,$783K,0.08,0.13,207.00,-0.02,0.03,256.00,-0.08,-0.09,376.00,0.05,-0.40,15.00,-6.00,-10.00,1.04,0.02,0.04,-0.01,0.02,high
"San Francisco, CA",12-May,$760K,-0.03,0.08,235.00,0.14,0.03,244.00,-0.05,-0.08,339.00,-0.10,-0.42,17.00,2.00,-6.00,1.05,0.01,0.06,-0.07,0.02,Decr
"San Francisco, CA",12-Jun,$765K,0.01,0.03,263.00,0.12,0.00,231.00,-0.05,-0.28,326.00,-0.04,-0.47,17.00,0.00,-11.00,1.05,0.00,0.05,0.04,0.02,low
"San Francisco, CA",12-Jul,$768K,0.00,0.06,205.00,-0.22,-0.01,229.00,-0.01,-0.16,290.00,-0.11,-0.46,15.00,-2.00,-12.00,1.06,0.01,0.06,0.01,0.01,low
"San Francisco, CA",12-Aug,$738K,-0.04,0.05,235.00,0.15,0.18,241.00,0.05,0.08,298.00,0.03,-0.39,15.00,0.00,-10.00,1.06,0.00,0.06,0.05,0.01,Decr
"San Francisco, CA",12-Sep,$739K,0.00,0.13,165.00,-0.30,-0.19,331.00,0.37,-0.14,389.00,0.31,-0.37,15.00,0.00,-9.00,1.07,0.01,0.06,0.01,0.01,low
"San Francisco, CA",12-Oct,$830K,0.12,0.13,244.00,0.48,0.26,250.00,-0.25,-0.03,322.00,-0.17,-0.45,15.00,0.00,-4.00,1.05,-0.02,0.05,-0.05,0.01,high
"San Francisco, CA",12-Nov,$810K,-0.02,0.17,255.00,0.05,0.15,169.00,-0.32,0.39,271.00,-0.16,-0.36,16.00,1.00,-7.00,1.07,0.01,0.06,0.01,0.01,Decr
"San Francisco, CA",12-Dec,$838K,0.03,0.38,197.00,-0.23,-0.14,75.00,-0.56,-0.23,184.00,-0.32,-0.39,20.00,4.00,-12.00,1.05,-0.02,0.04,-0.01,0.01,high
"San Francisco, CA",13-Jan,$750K,-0.10,0.20,157.00,-0.20,0.28,177.00,1.36,-0.13,196.00,0.07,-0.39,22.00,2.00,-35.00,1.06,0.01,0.07,0.03,0.01,Decr
"San Francisco, CA",13-Feb,$815K,0.09,0.26,125.00,-0.20,-0.31,176.00,-0.01,-0.21,203.00,0.04,-0.40,15.00,-7.00,-24.00,1.08,0.02,0.08,0.00,0.01,high
"San Francisco, CA",13-Mar,$925K,0.14,0.28,195.00,0.56,-0.08,242.00,0.38,-0.13,215.00,0.06,-0.40,14.00,-1.00,-7.00,1.10,0.02,0.08,0.03,0.01,high
"San Francisco, CA",13-Apr,"$1,000K",0.08,0.28,203.00,0.04,-0.02,273.00,0.13,0.07,241.00,0.12,-0.36,14.00,0.00,-1.00,1.12,0.02,0.08,0.02,0.01,high
"San Francisco, CA",13-May,$995K,-0.01,0.31,239.00,0.18,0.02,322.00,0.18,0.32,278.00,0.15,-0.18,14.00,0.00,-3.00,1.12,0.00,0.07,0.03,0.01,Decr
"San Francisco, CA",13-Jun,$950K,-0.05,0.24,255.00,0.07,-0.03,257.00,-0.20,0.11,257.00,-0.08,-0.21,14.00,0.00,-3.00,1.12,0.00,0.07,-0.02,0.01,Decr
"San Francisco, CA",13-Jul,$870K,-0.08,0.13,272.00,0.07,0.33,263.00,0.02,0.15,271.00,0.05,-0.07,14.00,0.00,-1.00,1.10,-0.02,0.04,0.06,0.01,Decr
"San Francisco, CA",13-Aug,$960K,0.10,0.30,225.00,-0.17,-0.04,231.00,-0.12,-0.04,269.00,-0.01,-0.10,16.00,2.00,1.00,1.11,0.01,0.05,-0.01,0.01,high
"San Francisco, CA",13-Sep,$912K,-0.05,0.23,180.00,-0.20,0.09,298.00,0.29,-0.10,339.00,0.26,-0.13,15.00,-1.00,0.00,1.09,-0.02,0.02,0.05,0.01,Decr
"San Francisco, CA",13-Oct,$905K,-0.01,0.09,244.00,0.36,0.00,269.00,-0.10,0.08,305.00,-0.10,-0.05,15.00,0.00,0.00,1.10,0.01,0.05,0.05,0.01,Decr
"San Francisco, CA",13-Nov,$960K,0.06,0.19,239.00,-0.02,-0.06,159.00,-0.41,-0.06,216.00,-0.29,-0.20,16.00,1.00,0.00,1.09,-0.01,0.02,0.03,0.01,high
"San Francisco, CA",13-Dec,$935K,-0.03,0.12,210.00,-0.12,0.07,89.00,-0.44,0.19,145.00,-0.33,-0.21,18.00,2.00,-2.00,1.07,-0.02,0.02,0.03,0.01,Decr
"San Francisco, CA",14-Jan,$925K,-0.01,0.23,121.00,-0.42,-0.23,172.00,0.93,-0.03,171.00,0.18,-0.13,17.00,-1.00,-5.00,1.08,0.01,0.02,-0.02,0.01,Decr
"San Francisco, CA",14-Feb,"$1,035K",0.12,0.27,152.00,0.26,0.22,195.00,0.13,0.11,181.00,0.06,-0.11,15.00,-2.00,0.00,1.10,0.02,0.02,0.05,0.01,high
"San Francisco, CA",14-Mar,$990K,-0.04,0.07,169.00,0.11,-0.13,219.00,0.12,-0.10,181.00,0.00,-0.16,14.00,-1.00,0.00,1.12,0.02,0.02,-0.03,0.01,Decr
"San Francisco, CA",14-Apr,"$1,090K",0.10,0.09,200.00,0.18,-0.02,209.00,-0.05,-0.23,176.00,-0.03,-0.27,14.00,0.00,0.00,1.15,0.03,0.03,0.00,0.01,high
"San Francisco, CA",14-May,"$1,100K",0.01,0.11,215.00,0.08,-0.10,266.00,0.27,-0.17,218.00,0.24,-0.22,14.00,0.00,0.00,1.15,0.00,0.04,0.04,0.01,low
"San Francisco, CA",14-Jun,"$1,155K",0.05,0.22,188.00,-0.13,-0.26,256.00,-0.04,0.00,253.00,0.16,-0.02,14.00,0.00,0.00,1.13,-0.02,0.01,0.03,0.01,high
"San Francisco, CA",14-Jul,"$1,093K",-0.05,0.26,222.00,0.18,-0.18,224.00,-0.13,-0.15,241.00,-0.05,-0.11,14.00,0.00,0.00,1.14,0.01,0.04,0.01,0.01,Decr
"San Francisco, CA",14-Aug,$980K,-0.10,0.02,207.00,-0.07,-0.08,205.00,-0.09,-0.11,231.00,-0.04,-0.14,16.00,2.00,0.00,1.12,-0.02,0.01,0.05,0.01,Decr
"San Francisco, CA",14-Sep,"$1,025K",0.05,0.12,183.00,-0.12,0.02,354.00,0.73,0.19,325.00,0.41,-0.04,15.00,-1.00,0.00,1.12,0.00,0.03,-0.01,0.01,high
"San Francisco, CA",14-Oct,"$1,180K",0.15,0.30,271.00,0.48,0.11,250.00,-0.29,-0.07,285.00,-0.12,-0.07,14.00,-1.00,-1.00,1.13,0.01,0.03,0.03,0.01,high
"San Francisco, CA",14-Nov,"$1,126K",-0.05,0.17,198.00,-0.27,-0.17,105.00,-0.58,-0.34,187.00,-0.34,-0.13,16.00,2.00,0.00,1.11,-0.02,0.03,0.04,0.01,Decr
"San Francisco, CA",14-Dec,"$1,069K",-0.05,0.14,192.00,-0.03,-0.09,72.00,-0.31,-0.19,102.00,-0.46,-0.30,23.00,7.00,5.00,1.09,-0.03,0.02,-0.02,0.01,Decr
"San Francisco, CA",15-Jan,$978K,-0.09,0.06,104.00,-0.46,-0.14,158.00,1.19,-0.08,143.00,0.40,-0.16,20.00,-3.00,3.00,1.08,-0.01,-0.01,-0.02,0.01,Decr
"San Francisco, CA",15-Feb,"$1,124K",0.15,0.09,120.00,0.15,-0.21,204.00,0.29,0.05,195.00,0.36,0.08,14.00,-6.00,-1.00,1.15,0.07,0.05,0.07,0.01,high
"San Francisco, CA",15-Mar,"$1,248K",0.11,0.26,182.00,0.52,0.08,229.00,0.12,0.05,186.00,-0.05,0.03,14.00,0.00,0.00,1.14,-0.01,0.02,-0.02,0.01,high
"San Francisco, CA",15-Apr,"$1,325K",0.06,0.22,208.00,0.14,0.04,244.00,0.07,0.17,212.00,0.14,0.21,14.00,0.00,0.00,1.17,0.03,0.02,0.02,0.01,high
"San Francisco, CA",15-May,"$1,400K",0.06,0.27,202.00,-0.03,-0.06,240.00,-0.02,-0.10,207.00,-0.02,-0.05,14.00,0.00,0.00,1.18,0.01,0.03,0.02,0.01,high
"San Francisco, CA",15-Jun,"$1,300K",-0.07,0.13,213.00,0.05,0.13,236.00,-0.02,-0.08,211.00,0.02,-0.17,14.00,0.00,0.00,1.17,-0.01,0.04,-0.02,0.01,Decr
"San Francisco, CA",15-Jul,"$1,278K",-0.02,0.17,230.00,0.08,0.04,254.00,0.08,0.13,223.00,0.06,-0.08,14.00,0.00,0.00,1.18,0.01,0.04,0.04,0.01,Decr
"San Francisco, CA",15-Aug,"$1,226K",-0.04,0.25,196.00,-0.15,-0.05,189.00,-0.26,-0.08,206.00,-0.08,-0.11,15.00,1.00,-1.00,1.17,-0.01,0.05,-0.07,0.01,Decr
"San Francisco, CA",15-Sep,"$1,143K",-0.07,0.12,160.00,-0.18,-0.13,304.00,0.61,-0.14,270.00,0.31,-0.17,15.00,0.00,0.00,1.18,0.01,0.06,-0.02,0.01,Decr
"San Francisco, CA",15-Oct,"$1,250K",0.09,0.06,242.00,0.51,-0.11,280.00,-0.08,0.12,275.00,0.02,-0.04,15.00,0.00,1.00,1.14,-0.04,0.01,0.11,0.01,high
"San Francisco, CA",15-Nov,"$1,250K",0.00,0.11,179.00,-0.26,-0.10,128.00,-0.54,0.22,183.00,-0.34,-0.02,16.00,1.00,0.00,1.13,-0.02,0.01,0.00,0.01,low
"San Francisco, CA",15-Dec,"$1,202K",-0.04,0.12,198.00,0.11,0.03,58.00,-0.55,-0.19,96.00,-0.48,-0.06,16.00,0.00,-7.00,1.12,0.00,0.03,-0.02,0.01,Decr
"San Francisco, CA",16-Jan,"$1,160K",-0.04,0.19,99.00,-0.50,-0.05,160.00,1.76,0.01,155.00,0.62,0.08,24.00,8.00,4.00,1.10,-0.02,0.03,-0.07,0.01,Decr
"San Francisco, CA",16-Feb,"$1,373K",0.18,0.22,102.00,0.03,-0.15,199.00,0.24,-0.03,215.00,0.39,0.10,15.00,-9.00,1.00,1.12,0.01,-0.03,-0.02,0.01,high
"San Francisco, CA",16-Mar,"$1,353K",-0.02,0.08,146.00,0.43,-0.20,223.00,0.12,-0.03,227.00,0.06,0.22,14.00,-1.00,0.00,1.15,0.03,0.01,0.07,0.01,Decr
"San Francisco, CA",16-Apr,"$1,400K",0.04,0.06,204.00,0.40,-0.02,273.00,0.22,0.12,296.00,0.30,0.40,15.00,1.00,1.00,1.13,-0.02,-0.04,-0.03,0.01,high
"San Francisco, CA",16-May,"$1,355K",-0.03,-0.03,190.00,-0.07,-0.06,261.00,-0.04,0.09,289.00,-0.02,0.40,15.00,0.00,1.00,1.15,0.02,-0.03,0.04,0.01,Decr
"San Francisco, CA",16-Jun,"$1,318K",-0.03,0.01,236.00,0.24,0.11,224.00,-0.14,-0.05,280.00,-0.03,0.33,15.00,0.00,1.00,1.10,-0.05,-0.07,-0.02,0.01,Decr
"San Francisco, CA",16-Jul,"$1,300K",-0.01,0.02,196.00,-0.17,-0.15,218.00,-0.03,-0.14,311.00,0.11,0.40,15.00,0.00,1.00,1.12,0.02,-0.06,0.07,0.01,Decr
"San Francisco, CA",16-Aug,"$1,298K",0.00,0.06,185.00,-0.06,-0.06,172.00,-0.21,-0.09,256.00,-0.18,0.24,21.00,6.00,6.00,1.12,0.00,-0.05,0.01,0.01,Decr
"San Francisco, CA",16-Sep,"$1,280K",-0.01,0.12,170.00,-0.08,0.06,341.00,0.98,0.12,389.00,0.52,0.44,22.00,1.00,7.00,1.11,-0.01,-0.07,0.02,0.01,Decr
"San Francisco, CA",16-Oct,"$1,400K",0.09,0.12,222.00,0.31,-0.08,226.00,-0.34,-0.19,366.00,-0.06,0.33,17.00,-5.00,2.00,1.11,0.00,-0.03,-0.02,0.01,high
"San Francisco, CA",16-Nov,"$1,350K",-0.04,0.08,203.00,-0.09,0.13,126.00,-0.44,-0.02,252.00,-0.31,0.38,27.00,10.00,11.00,1.09,-0.02,-0.03,0.00,0.01,Decr
"San Francisco, CA",16-Dec,"$1,300K",-0.04,0.08,202.00,-0.01,0.02,46.00,-0.64,-0.21,141.00,-0.44,0.47,34.00,7.00,18.00,1.08,-0.01,-0.04,0.01,0.01,Decr
"San Francisco, CA",17-Jan,"$1,250K",-0.04,0.08,100.00,-0.51,0.01,146.00,2.17,-0.09,179.00,0.27,0.16,34.00,0.00,10.00,1.07,-0.01,-0.03,0.05,0.01,Decr
"San Francisco, CA",17-Feb,"$1,273K",0.02,-0.07,108.00,0.08,0.06,161.00,0.10,-0.19,197.00,0.10,-0.08,19.00,-15.00,4.00,1.14,0.06,0.02,0.04,0.01,low
"San Francisco, CA",17-Mar,"$1,330K",0.05,-0.02,171.00,0.58,0.17,260.00,0.62,0.17,238.00,0.21,0.05,16.00,-3.00,2.00,1.12,-0.01,-0.03,0.02,0.01,high
"San Francisco, CA",17-Apr,"$1,415K",0.06,0.01,194.00,0.14,-0.05,217.00,-0.17,-0.21,254.00,0.07,-0.14,15.00,-1.00,0.00,1.16,0.03,0.03,0.03,0.01,high
"San Francisco, CA",17-May,"$1,500K",0.06,0.11,209.00,0.08,0.10,236.00,0.09,-0.10,228.00,-0.10,-0.21,15.00,0.00,0.00,1.16,0.00,0.00,0.04,0.01,high
