RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,,8/31/2011,8/31/2012,8/31/2013,8/31/2014,8/31/2015,8/31/2016,8/31/2017,8/31/2018,8/31/2019,8/31/2020,Per8/31/2012,Per8/31/2013,Per8/31/2014,Per8/31/2015,Per8/31/2016,Per8/31/2017,Per8/31/2018,Per8/31/2019,Per8/31/2020
97991,274,95123,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,436440,465931,588572,638417,712760,750890,821000,1020595,897612,952272,0.07,0.26,0.08,0.12,0.05,0.09,0.24,-0.12,0.06
97940,306,95035,Zip,CA,CA,Milpitas,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,466367,495173,616144,675389,722655,776460,842373,1038056,916467,1025508,0.06,0.24,0.10,0.07,0.07,0.08,0.23,-0.12,0.12
97952,341,95051,Zip,CA,CA,Santa Clara,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,583889,635568,772870,855358,943752,1013515,1139323,1454008,1243178,1369437,0.09,0.22,0.11,0.10,0.07,0.12,0.28,-0.15,0.10
97926,537,95014,Zip,CA,CA,Cupertino,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,921633,972836,1189995,1312970,1559249,1559653,1710876,2080966,1806009,1957998,0.06,0.22,0.10,0.19,0.00,0.10,0.22,-0.13,0.08
97980,544,95112,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,393822,399922,497522,546284,623211,665896,716982,928947,842006,921066,0.02,0.24,0.10,0.14,0.07,0.08,0.30,-0.09,0.09
97549,600,94087,Zip,CA,CA,Sunnyvale,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,870957,964887,1183996,1324787,1510236,1537062,1689259,2085196,1762918,1845171,0.11,0.23,0.12,0.14,0.02,0.10,0.23,-0.15,0.05
97993,606,95125,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,726328,784556,927874,953197,1015427,1058864,1157485,1445019,1270386,1347914,0.08,0.18,0.03,0.07,0.04,0.09,0.25,-0.12,0.06
97548,649,94086,Zip,CA,CA,Sunnyvale,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,664604,729588,888882,976985,1119419,1184959,1341309,1695303,1439303,1589462,0.10,0.22,0.10,0.15,0.06,0.13,0.26,-0.15,0.10
97920,742,95008,Zip,CA,CA,Campbell,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,650318,707210,843915,920334,1007733,1050326,1167005,1448057,1245446,1324444,0.09,0.19,0.09,0.10,0.04,0.11,0.24,-0.14,0.06
97931,843,95020,Zip,CA,CA,Gilroy,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,340230,357432,459382,509426,561684,600896,639329,743026,679368,722877,0.05,0.29,0.11,0.10,0.07,0.06,0.16,-0.09,0.06
97992,1442,95124,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,614850,669312,812697,881311,959462,1010071,1098383,1368456,1181521,1258690,0.09,0.21,0.08,0.09,0.05,0.09,0.25,-0.14,0.07
97942,1562,95037,Zip,CA,CA,Morgan Hill,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,402569,429898,522998,567410,627374,668586,712732,828646,758509,847000,0.07,0.22,0.08,0.11,0.07,0.07,0.16,-0.08,0.12
97933,1687,95023,Zip,CA,CA,Hollister,San Jose-Sunnyvale-Santa Clara,San Benito County,,370253,359771,412625,442884,471809,504945,531808,553414,573000,598472,-0.03,0.15,0.07,0.07,0.07,0.05,0.04,0.04,0.04
98004,1794,95136,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,434710,458713,579900,622036,701569,737919,795400,990786,870867,925660,0.06,0.26,0.07,0.13,0.05,0.08,0.25,-0.12,0.06
97995,1866,95127,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,317644,348918,434849,484192,541808,580352,630646,769816,693438,793463,0.10,0.25,0.11,0.12,0.07,0.09,0.22,-0.10,0.14
97979,1869,95111,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,326845,347477,433656,481913,540057,582343,637324,774617,698173,788512,0.06,0.25,0.11,0.12,0.08,0.09,0.22,-0.10,0.13
97994,1883,95126,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,,589440,621066,740700,798912,852949,899685,968356,1257221,1106821,1160866,0.05,0.19,0.08,0.07,0.05,0.08,0.30,-0.12,0.05
